"00782","STANDARD","COMERIO","PR","PRIMARY",18.22,-66.22,"NA-US-PR-COMERIO","false",,,
"00783","STANDARD","COROZAL","PR","PRIMARY",18.34,-66.31,"NA-US-PR-COROZAL","false",,,
"09848","MILITARY","APO","AE","PRIMARY",,,,"false",,,
"10200","STANDARD","NEW YORK","NY","PRIMARY",40.77,73.95,"NA-US-NY-NEW YORK","false",,,
"09323","MILITARY","APO","AE","PRIMARY",-44.25,33.53,"ME-IQ","false",,,
"00659","STANDARD","HATILLO","PR","PRIMARY",18.48,-66.82,"NA-US-PR-HATILLO","false",,,
"00660","STANDARD","HORMIGUEROS","PR","PRIMARY",18.14,-67.12,"NA-US-PR-HORMIGUEROS","false",,,
"00791","STANDARD","HUMACAO","PR","PRIMARY",18.15,-65.81,"NA-US-PR-HUMACAO","false",,,
"00792","PO BOX","HUMACAO","PR","PRIMARY",18.15,-65.81,"NA-US-PR-HUMACAO","false",,,
"00662","STANDARD","ISABELA","PR","PRIMARY",18.50,-67.02,"NA-US-PR-ISABELA","false",,,
"00664","STANDARD","JAYUYA","PR","PRIMARY",18.22,-66.59,"NA-US-PR-JAYUYA","false",,,
"00795","STANDARD","JUANA DIAZ","PR","PRIMARY",18.05,-66.50,"NA-US-PR-JUANA DIAZ","false",,,
"00777","STANDARD","JUNCOS","PR","PRIMARY",18.22,-65.91,"NA-US-PR-JUNCOS","false",,,
"00728","STANDARD","PONCE","PR","PRIMARY",17.98,-66.60,"NA-US-PR-PONCE","false",,,
"00725","STANDARD","CAGUAS","PR","PRIMARY",18.23,-66.03,"NA-US-PR-CAGUAS","false",,,
"00726","PO BOX","CAGUAS","PR","PRIMARY",18.23,-66.03,"NA-US-PR-CAGUAS","false",,,
"02130","STANDARD","JAMAICA PLAIN","MA","PRIMARY",42.30,-71.11,"NA-US-MA-JAMAICA PLAIN","false",19207,27060,930225860
"02131","STANDARD","ROSLINDALE","MA","PRIMARY",42.28,-71.13,"NA-US-MA-ROSLINDALE","false",15098,23881,637197973
"02132","STANDARD","WEST ROXBURY","MA","PRIMARY",42.28,-71.16,"NA-US-MA-WEST ROXBURY","false",13457,21756,751009680
"02133","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02134","STANDARD","ALLSTON","MA","PRIMARY",42.35,-71.13,"NA-US-MA-ALLSTON","false",9592,12051,310662266
"02135","STANDARD","BRIGHTON","MA","PRIMARY",42.35,-71.15,"NA-US-MA-BRIGHTON","false",21268,27370,855471186
"02136","STANDARD","HYDE PARK","MA","PRIMARY",42.26,-71.11,"NA-US-MA-HYDE PARK","false",14261,23209,549863633
"02137","PO BOX","READVILLE","MA","PRIMARY",42.25,-71.12,"NA-US-MA-READVILLE","false",,,
"02163","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",630,723,46464955
"02196","PO BOX","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",521,780,56979484
"02199","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",926,1239,131945542
"02201","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02203","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02204","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02205","PO BOX","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",1063,1513,36858731
"02206","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02210","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",1130,1495,125277777
"02211","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02212","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02215","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",6084,7098,288003972
"02217","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02222","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02228","PO BOX","EAST BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-EAST BOSTON","false",,,
"02241","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02266","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02283","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02284","STANDARD","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02293","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02295","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02297","UNIQUE","BOSTON","MA","PRIMARY",42.35,-71.06,"NA-US-MA-BOSTON","false",,,
"02298","PO BOX","BOSTON","MA","PRIMARY",42.34,-71.05,"NA-US-MA-BOSTON","false",,,
"01921","STANDARD","BOXFORD","MA","PRIMARY",42.67,-70.98,"NA-US-MA-BOXFORD","false",3837,7331,381701356
"01505","STANDARD","BOYLSTON","MA","PRIMARY",42.35,-71.73,"NA-US-MA-BOYLSTON","false",2235,3993,154598338
"02020","PO BOX","BRANT ROCK","MA","PRIMARY",42.08,-70.64,"NA-US-MA-BRANT ROCK","false",416,661,19450731
"02631","STANDARD","BREWSTER","MA","PRIMARY",41.76,-70.08,"NA-US-MA-BREWSTER","false",5179,8575,167998522
"02324","STANDARD","BRIDGEWATER","MA","PRIMARY",41.98,-70.97,"NA-US-MA-BRIDGEWATER","false",10960,19223,572230266
"02325","UNIQUE","BRIDGEWATER","MA","PRIMARY",41.98,-70.97,"NA-US-MA-BRIDGEWATER","false",,,
"02301","STANDARD","BROCKTON","MA","PRIMARY",42.08,-71.02,"NA-US-MA-BROCKTON","false",26639,44024,893244392
"02302","STANDARD","BROCKTON","MA","PRIMARY",42.08,-71.02,"NA-US-MA-BROCKTON","false",14983,25132,542792129
"02303","PO BOX","BROCKTON","MA","PRIMARY",42.08,-71.02,"NA-US-MA-BROCKTON","false",700,1124,22756824
"02304","PO BOX","BROCKTON","MA","PRIMARY",42.08,-71.02,"NA-US-MA-BROCKTON","false",,,
"02305","PO BOX","BROCKTON","MA","PRIMARY",42.08,-71.02,"NA-US-MA-BROCKTON","false",,,
"01506","STANDARD","BROOKFIELD","MA","PRIMARY",42.21,-72.10,"NA-US-MA-BROOKFIELD","false",1665,2920,68732705
"02327","PO BOX","BRYANTVILLE","MA","PRIMARY",42.06,-70.80,"NA-US-MA-BRYANTVILLE","false",328,526,11061702
"01803","STANDARD","BURLINGTON","MA","PRIMARY",42.50,-71.20,"NA-US-MA-BURLINGTON","false",12671,22104,728010164
"01805","UNIQUE","BURLINGTON","MA","PRIMARY",42.50,-71.20,"NA-US-MA-BURLINGTON","false",,,
"02532","STANDARD","BUZZARDS BAY","MA","PRIMARY",41.75,-70.61,"NA-US-MA-BUZZARDS BAY","false",5340,8780,209927645
"02542","STANDARD","BUZZARDS BAY","MA","PRIMARY",41.75,-70.61,"NA-US-MA-BUZZARDS BAY","false",269,581,9999157
"01922","STANDARD","BYFIELD","MA","PRIMARY",42.75,-70.93,"NA-US-MA-BYFIELD","false",1555,2848,99724975
"02138","STANDARD","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",15668,21578,1027911979
"02139","STANDARD","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",19543,25969,971287414
"02140","STANDARD","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",9746,14277,528814265
"02141","STANDARD","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",6125,8418,310303911
"02142","STANDARD","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",1504,2011,109677520
"02238","PO BOX","CAMBRIDGE","MA","PRIMARY",42.37,-71.11,"NA-US-MA-CAMBRIDGE","false",390,494,13719030
"02021","STANDARD","CANTON","MA","PRIMARY",42.15,-71.13,"NA-US-MA-CANTON","false",10887,18954,736904131
"01741","STANDARD","CARLISLE","MA","PRIMARY",42.53,-71.35,"NA-US-MA-CARLISLE","false",2421,4692,296809193
"02330","STANDARD","CARVER","MA","PRIMARY",41.88,-70.76,"NA-US-MA-CARVER","false",5278,9328,238966437
"02534","PO BOX","CATAUMET","MA","PRIMARY",41.66,-70.61,"NA-US-MA-CATAUMET","false",529,855,23227948
"02632","STANDARD","CENTERVILLE","MA","PRIMARY",41.66,-70.34,"NA-US-MA-CENTERVILLE","false",5785,9476,219173799
"02634","PO BOX","CENTERVILLE","MA","PRIMARY",41.66,-70.34,"NA-US-MA-CENTERVILLE","false",,,
"01507","STANDARD","CHARLTON","MA","PRIMARY",42.13,-71.96,"NA-US-MA-CHARLTON","false",5909,10873,321653214
"01509","PO BOX","CHARLTON DEPOT","MA","PRIMARY",42.13,-71.96,"NA-US-MA-CHARLTON DEPOT","false",,,
"01508","PO BOX","CHARLTON CITY","MA","PRIMARY",42.13,-71.96,"NA-US-MA-CHARLTON CITY","false",476,795,19633278
"02633","STANDARD","CHATHAM","MA","PRIMARY",41.67,-69.96,"NA-US-MA-CHATHAM","false",2191,3482,67503884
"01824","STANDARD","CHELMSFORD","MA","PRIMARY",42.59,-71.36,"NA-US-MA-CHELMSFORD","false",12912,23196,794814017
"02535","STANDARD","CHILMARK","MA","PRIMARY",41.34,-70.74,"NA-US-MA-CHILMARK","false",605,1000,19027009
"02552","PO BOX","MENEMSHA","MA","PRIMARY",41.34,-70.73,"NA-US-MA-MENEMSHA","false",,,
"01510","STANDARD","CLINTON","MA","PRIMARY",42.41,-71.68,"NA-US-MA-CLINTON","false",6969,11365,285300523
"02025","STANDARD","COHASSET","MA","PRIMARY",42.23,-70.80,"NA-US-MA-COHASSET","false",3485,6515,426391994
"01742","STANDARD","CONCORD","MA","PRIMARY",42.45,-71.35,"NA-US-MA-CONCORD","false",8368,15042,923189072
"02635","STANDARD","COTUIT","MA","PRIMARY",41.62,-70.44,"NA-US-MA-COTUIT","false",1868,3159,83464453
"02652","PO BOX","NORTH TRURO","MA","PRIMARY",42.04,-70.09,"NA-US-MA-NORTH TRURO","false",461,718,11258057
"01538","PO BOX","NORTH UXBRIDGE","MA","PRIMARY",42.05,-71.64,"NA-US-MA-NORTH UXBRIDGE","false",303,491,10088473
"02061","STANDARD","NORWELL","MA","PRIMARY",42.16,-70.78,"NA-US-MA-NORWELL","false",4995,9372,447651996
"02062","STANDARD","NORWOOD","MA","PRIMARY",42.18,-71.19,"NA-US-MA-NORWOOD","false",14728,24326,730265400
"01865","PO BOX","NUTTING LAKE","MA","PRIMARY",42.54,-71.25,"NA-US-MA-NUTTING LAKE","false",,,
"02557","STANDARD","OAK BLUFFS","MA","PRIMARY",41.45,-70.56,"NA-US-MA-OAK BLUFFS","false",1582,2451,48137834
"02558","PO BOX","ONSET","MA","PRIMARY",41.74,-70.66,"NA-US-MA-ONSET","false",1195,1831,35269964
"02653","STANDARD","ORLEANS","MA","PRIMARY",41.79,-70.00,"NA-US-MA-ORLEANS","false",2891,4418,80664330
"02655","STANDARD","OSTERVILLE","MA","PRIMARY",41.62,-70.38,"NA-US-MA-OSTERVILLE","false",1995,3222,85206486
"01540","STANDARD","OXFORD","MA","PRIMARY",42.11,-71.87,"NA-US-MA-OXFORD","false",5450,9660,250160644
"01960","STANDARD","PEABODY","MA","PRIMARY",42.53,-70.97,"NA-US-MA-PEABODY","false",26295,43688,1088161990
"01961","PO BOX","PEABODY","MA","PRIMARY",42.53,-70.97,"NA-US-MA-PEABODY","false",,,
"02359","STANDARD","PEMBROKE","MA","PRIMARY",42.06,-70.80,"NA-US-MA-PEMBROKE","false",8334,15037,467870357
"01463","STANDARD","PEPPERELL","MA","PRIMARY",42.66,-71.58,"NA-US-MA-PEPPERELL","false",5549,10100,310246738
"01866","PO BOX","PINEHURST","MA","PRIMARY",42.53,-71.23,"NA-US-MA-PINEHURST","false",,,
"02360","STANDARD","PLYMOUTH","MA","PRIMARY",41.95,-70.66,"NA-US-MA-PLYMOUTH","false",25562,44333,1245239211
"02361","PO BOX","PLYMOUTH","MA","PRIMARY",41.95,-70.66,"NA-US-MA-PLYMOUTH","false",,,
"02362","PO BOX","PLYMOUTH","MA","PRIMARY",41.95,-70.66,"NA-US-MA-PLYMOUTH","false",580,902,23189079
"02367","STANDARD","PLYMPTON","MA","PRIMARY",41.95,-70.81,"NA-US-MA-PLYMPTON","false",1394,2488,70555383
"02559","STANDARD","POCASSET","MA","PRIMARY",41.69,-70.63,"NA-US-MA-POCASSET","false",1778,2864,61565616
"01965","PO BOX","PRIDES CROSSING","MA","PRIMARY",42.56,-70.86,"NA-US-MA-PRIDES CROSSING","false",,,
"01541","STANDARD","PRINCETON","MA","PRIMARY",42.45,-71.86,"NA-US-MA-PRINCETON","false",1745,3224,122908259
"02657","STANDARD","PROVINCETOWN","MA","PRIMARY",42.06,-70.20,"NA-US-MA-PROVINCETOWN","false",2474,3084,60762345
"02368","STANDARD","RANDOLPH","MA","PRIMARY",42.17,-71.05,"NA-US-MA-RANDOLPH","false",16060,26599,668926640
"01867","STANDARD","READING","MA","PRIMARY",42.53,-71.10,"NA-US-MA-READING","false",11926,21499,808066167
"01542","STANDARD","ROCHDALE","MA","PRIMARY",42.20,-71.90,"NA-US-MA-ROCHDALE","false",1097,1907,48317521
"02370","STANDARD","ROCKLAND","MA","PRIMARY",42.13,-70.91,"NA-US-MA-ROCKLAND","false",8794,14690,372071550
"01966","STANDARD","ROCKPORT","MA","PRIMARY",42.64,-70.61,"NA-US-MA-ROCKPORT","false",3847,6287,163627573
"01969","STANDARD","ROWLEY","MA","PRIMARY",42.71,-70.87,"NA-US-MA-ROWLEY","false",2926,5259,182610213
"01543","STANDARD","RUTLAND","MA","PRIMARY",42.36,-71.95,"NA-US-MA-RUTLAND","false",3637,6893,201965675
"02561","PO BOX","SAGAMORE","MA","PRIMARY",41.78,-70.53,"NA-US-MA-SAGAMORE","false",432,722,13592049
"02562","STANDARD","SAGAMORE BEACH","MA","PRIMARY",41.79,-70.53,"NA-US-MA-SAGAMORE BEACH","false",1655,2870,78102880
"01970","STANDARD","SALEM","MA","PRIMARY",42.51,-70.90,"NA-US-MA-SALEM","false",20662,32194,863806447
"01971","PO BOX","SALEM","MA","PRIMARY",42.51,-70.89,"NA-US-MA-SALEM","false",,,
"02563","STANDARD","SANDWICH","MA","PRIMARY",41.75,-70.49,"NA-US-MA-SANDWICH","false",5404,9499,254396980
"02040","PO BOX","GREENBUSH","MA","PRIMARY",42.19,-70.76,"NA-US-MA-GREENBUSH","false",,,
"02055","PO BOX","MINOT","MA","PRIMARY",42.19,-70.76,"NA-US-MA-MINOT","false",,,
"61571","STANDARD","WASHINGTON","IL","PRIMARY",40.69,-89.43,"NA-US-IL-WASHINGTON","false",11400,20715,516346391
"61488","STANDARD","WATAGA","IL","PRIMARY",41.02,-90.27,"NA-US-IL-WATAGA","false",566,1009,16697294
"60556","STANDARD","WATERMAN","IL","PRIMARY",41.76,-88.77,"NA-US-IL-WATERMAN","false",948,1741,38494328
"60970","STANDARD","WATSEKA","IL","PRIMARY",40.77,-87.73,"NA-US-IL-WATSEKA","false",3380,5810,92059404
"60184","STANDARD","WAYNE","IL","PRIMARY",41.95,-88.26,"NA-US-IL-WAYNE","false",1242,2281,129227594
"61778","STANDARD","WAYNESVILLE","IL","PRIMARY",40.24,-89.12,"NA-US-IL-WAYNESVILLE","false",330,607,10800525
"60557","PO BOX","WEDRON","IL","PRIMARY",41.41,-88.73,"NA-US-IL-WEDRON","false",,,
"60973","STANDARD","WELLINGTON","IL","PRIMARY",40.54,-87.67,"NA-US-IL-WELLINGTON","false",,,
"61377","STANDARD","WENONA","IL","PRIMARY",41.05,-89.05,"NA-US-IL-WENONA","false",679,1187,22793601
"61378","STANDARD","WEST BROOKLYN","IL","PRIMARY",41.69,-89.14,"NA-US-IL-WEST BROOKLYN","false",259,466,7152076
"60185","STANDARD","WEST CHICAGO","IL","PRIMARY",41.88,-88.22,"NA-US-IL-WEST CHICAGO","false",15511,29774,708219715
"60186","PO BOX","WEST CHICAGO","IL","PRIMARY",41.88,-88.22,"NA-US-IL-WEST CHICAGO","false",,,
"60558","STANDARD","WESTERN SPRINGS","IL","PRIMARY",41.80,-87.90,"NA-US-IL-WESTERN SPRINGS","false",6138,11800,622222736
"60559","STANDARD","WESTMONT","IL","PRIMARY",41.79,-87.97,"NA-US-IL-WESTMONT","false",12205,20758,568217946
"60187","STANDARD","WHEATON","IL","PRIMARY",41.85,-88.10,"NA-US-IL-WHEATON","false",19087,33167,1179877339
"60189","STANDARD","WHEATON","IL","PRIMARY",41.85,-88.10,"NA-US-IL-WHEATON","false",9684,17898,757738901
"61489","STANDARD","WILLIAMSFIELD","IL","PRIMARY",40.92,-90.01,"NA-US-IL-WILLIAMSFIELD","false",437,787,13860385
"60480","STANDARD","WILLOW SPRINGS","IL","PRIMARY",41.73,-87.88,"NA-US-IL-WILLOW SPRINGS","false",2859,4851,162192650
"60481","STANDARD","WILMINGTON","IL","PRIMARY",41.29,-88.15,"NA-US-IL-WILMINGTON","false",5926,10277,234769230
"60190","STANDARD","WINFIELD","IL","PRIMARY",41.87,-88.15,"NA-US-IL-WINFIELD","false",5572,10080,356751182
"60191","STANDARD","WOOD DALE","IL","PRIMARY",41.96,-87.98,"NA-US-IL-WOOD DALE","false",7487,12973,294594830
"60399","UNIQUE","WOOD DALE","IL","PRIMARY",41.96,-87.94,"NA-US-IL-WOOD DALE","false",,,
"61490","STANDARD","WOODHULL","IL","PRIMARY",41.17,-90.32,"NA-US-IL-WOODHULL","false",576,1037,16844768
"60974","PO BOX","WOODLAND","IL","PRIMARY",40.71,-87.73,"NA-US-IL-WOODLAND","false",,,
"60465","STANDARD","PALOS HILLS","IL","PRIMARY",41.69,-87.82,"NA-US-IL-PALOS HILLS","false",9167,15256,320292595
"60482","STANDARD","WORTH","IL","PRIMARY",41.68,-87.79,"NA-US-IL-WORTH","false",5491,9167,179810926
"61379","STANDARD","WYANET","IL","PRIMARY",41.36,-89.58,"NA-US-IL-WYANET","false",682,1201,20754711
"61491","STANDARD","WYOMING","IL","PRIMARY",41.06,-89.77,"NA-US-IL-WYOMING","false",1029,1841,31632943
"61572","STANDARD","YATES CITY","IL","PRIMARY",40.77,-90.01,"NA-US-IL-YATES CITY","false",514,934,16290570
"60560","STANDARD","YORKVILLE","IL","PRIMARY",41.64,-88.44,"NA-US-IL-YORKVILLE","false",10365,19311,565451302
"60601","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",5676,7785,594882095
"60602","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",1265,1657,83593628
"60603","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",1331,1676,73181070
"60604","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",922,1192,42414664
"60605","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",10946,15279,929015056
"60606","STANDARD","CHICAGO","IL","PRIMARY",41.83,-87.68,"NA-US-IL-CHICAGO","false",2298,3110,226905841
